specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1.029097E+19,1237663457778074482,9140,58039,903,eboss,GALAXY,STARBURST,320.7815,0.1698172,22.31519,22.33556,21.87206,21.79149,21.56397
1.029186E+19,1237657189815223086,9141,57663,16,eboss,GALAXY,STARBURST,322.9574,-1.013628,21.09599,20.57651,20.1945,19.87383,19.56928
1.029523E+19,1237656567582884546,9144,57666,16,eboss,GALAXY,STARFORMING,330.0474,-0.831636,22.45148,21.72055,21.12119,20.83003,20.3786
1.030561E+19,1237663784191853098,9153,58022,914,eboss,GALAXY,STARBURST,347.3496,0.1258472,22.60549,21.91187,21.13884,20.93575,20.41225
1.030777E+19,1237663783119159636,9155,58043,577,eboss,GALAXY,STARBURST,349.8142,-0.760769,21.9907,21.57299,21.20688,20.93183,21.05532
1.031442E+19,1237678617400508870,9161,57691,171,eboss,GALAXY,STARBURST,320.3714,0.6449508,24.25247,22.17108,21.77799,21.90017,22.44049
1.032011E+19,1237678595930063393,9166,58051,386,eboss,GALAXY,STARBURST,330.4318,1.065107,22.92815,21.91539,20.96166,20.66863,20.34365
1.032563E+19,1237663480336744794,9171,58068,21,eboss,GALAXY,STARBURST,342.9216,0.8741018,21.85055,21.78329,21.50694,21.1605,21.03505
1.032701E+19,1237678617948192934,9172,58015,921,eboss,GALAXY,STARBURST,345.101,1.620514,22.15154,21.61948,21.59591,22.12358,21.81551
1.033598E+19,1237663457242317186,9180,57693,802,eboss,GALAXY,STARBURST,323.3528,-0.2683483,22.21427,21.73704,21.99555,21.48483,21.57802
1.035626E+19,1237657192515633181,9198,57713,853,eboss,GALAXY,STARBURST,359.5121,1.116427,23.85654,23.06,22.27505,21.63082,21.42047
1.036399E+19,1237663462605062817,9205,57711,305,eboss,GALAXY,BROADLINE,345.6863,0.7287745,24.13048,22.84369,22.20015,21.5428,20.87293
1.037294E+19,1237679998237803746,9213,57712,100,eboss,GALAXY,STARBURST,349.096,-1.983906,25.42729,23.63358,22.80073,22.92631,21.7021
1.038878E+19,1237663457779123038,9227,57932,372,eboss,GALAXY,STARBURST,323.1789,0.1922833,22.90442,22.28506,21.8578,21.60134,21.56973
1.039101E+19,1237663543143957566,9229,58015,304,eboss,GALAXY,STARBURST,325.391,-0.05707675,23.39345,22.79369,21.84683,21.52097,21.08908
1.039788E+19,1237678595930325103,9235,58021,699,eboss,GALAXY,STARBURST,331.063,1.127683,23.21361,24.47104,22.3282,21.98878,21.40007
1.050471E+19,1237679323930427596,9330,57743,222,eboss,GALAXY,STARBURST,24.36464,-4.105873,25.16615,22.82841,22.16275,21.81882,21.61063
1.052274E+19,1237679079666352508,9346,58049,276,eboss,GALAXY,STARBURST,8.082931,-3.87291,22.2664,22.37986,21.70788,20.99918,20.40116
1.053395E+19,1237674290756649147,9356,57809,102,eboss,GALAXY,STARBURST,120.9861,35.24411,22.36408,21.78531,22.09123,22.00164,22.54769
1.053408E+19,1237654628399841607,9356,57809,573,eboss,GALAXY,STARBURST,119.1247,36.87611,22.3585,21.6851,21.87335,21.81535,22.47416
1.05351E+19,1237654654171807898,9357,57807,205,eboss,GALAXY,STARFORMING,119.296,37.50145,22.19682,22.12192,21.93682,21.59107,21.77306
1.053511E+19,1237653587406619231,9357,57807,244,eboss,GALAXY,STARBURST,119.2734,37.93008,22.11983,21.73855,21.4439,21.15833,21.65075
1.053513E+19,1237654391102636109,9357,57807,310,eboss,GALAXY,STARBURST,119.0609,38.65157,22.286,21.79247,21.24009,21.94841,20.82174
